geom,country_code,code,name,fishing_port,landing_place,commercial_port,enabled
SRID=4326;MULTIPOINT(10.025 54.582),DEU,DEDAP,DAMP,Y,"","",Y
SRID=4326;MULTIPOINT(9.986 54.72),DEU,DEDCT,DRECHT,Y,"","",Y
SRID=4326;MULTIPOINT(11.09 54.218),DEU,DEDHI,Dahme,Y,"","",Y
SRID=4326;MULTIPOINT(12.365 54.295),DEU,DEDIA,DIERHAGEN,Y,"","",Y
SRID=4326;MULTIPOINT(7.281 53.317),DEU,DEDIT,DITZUM,Y,"","",Y
SRID=4326;MULTIPOINT(13.233 54.628),DEU,DEDRA,DRANSKE,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.838 54.475),DEU,DEECK,Eckernförde,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.85 54.267),DEU,DEEIK,EIDERLOCKSPERRWERK,Y,"","",Y
SRID=4326;MULTIPOINT(7.2 53.367),DEU,DEEME,EMDEN,Y,"",Y,Y
SRID=4326;MULTIPOINT(8.355 53.595),DEU,DEFEZ,FEDDERWARDERSIEL,Y,"","",Y
SRID=4326;MULTIPOINT(9.957 54.771),DEU,DEFHO,FALSHOEFT,Y,"","",Y
SRID=4326;MULTIPOINT(9.543 53.727),DEU,DEFLA,FLEIEN,Y,"","",Y
SRID=4326;MULTIPOINT(9.43 54.802),DEU,DEFLF,FLENSBURG,Y,"",Y,Y
SRID=4326;MULTIPOINT(13.726 54.134),DEU,DEFRJ,FREEST,Y,"","",Y
SRID=4326;MULTIPOINT(10.179 54.393),DEU,DEFRO,FRIEDRICHSORT,Y,"","",Y
SRID=4326;MULTIPOINT(9.527 54.84),DEU,DEGCK,GLUECKSBURG,Y,"","",Y
SRID=4326;MULTIPOINT(9.082 53.797),DEU,DEGEV,GEVERSDORF,Y,"","",Y
SRID=4326;MULTIPOINT(13.738 54.342),DEU,DEGHS,GÖHREN,Y,"","",Y
SRID=4326;MULTIPOINT(9.417 53.783),DEU,DEGLU,Glückstadt,Y,"",Y,Y
SRID=4326;MULTIPOINT(13.471 54.569),DEU,DEGLY,GLOWE,Y,"","",Y
SRID=4326;MULTIPOINT(12.25 54.25),DEU,DEGMX,Graal-Müritz,Y,"","",Y
SRID=4326;MULTIPOINT(13.383 54.083),DEU,DEGRD,GREIFSWALD,Y,"",Y,Y
SRID=4326;MULTIPOINT(7.1 53.5),DEU,DEGRE,GREETSIEL,Y,"","",Y
SRID=4326;MULTIPOINT(11.104 54.364),DEU,DEGRO,GROSSENBRODE,Y,"","",Y
SRID=4326;MULTIPOINT(10.752 53.907),DEU,DEGTM,LÜBECK-GOTHMUND,Y,"","",Y
SRID=4326;MULTIPOINT(13.323 54.172),DEU,DEGTW,GRISTOW,Y,"","",Y
SRID=4326;MULTIPOINT(13.681 54.307),DEU,DEGXG,Gager,Y,"","",Y
SRID=4326;MULTIPOINT(13.683 54.296),DEU,DEGZ4,GROSS-ZICKER,Y,"","",Y
SRID=4326;MULTIPOINT(10.95 54.133),DEU,DEGZZ,GROEMITZ,Y,"","",Y
SRID=4326;MULTIPOINT(9.678 53.572),DEU,DEHAM,HAMBURG,Y,"",Y,Y
SRID=4326;MULTIPOINT(14.167 53.96),DEU,DEHDF,HERINGSDORF,Y,"","",Y
SRID=4326;MULTIPOINT(10.197 54.375),DEU,DEHED,HEIKENDORF,Y,"","",Y
SRID=4326;MULTIPOINT(8.542 54.577),DEU,DEHGE,HOOGE,Y,"","",Y
SRID=4326;MULTIPOINT(7.9 54.183),DEU,DEHGL,HELGOLAND,Y,"",Y,Y
SRID=4326;MULTIPOINT(10.983 54.373),DEU,DEHHF,HEILIGENHAFEN,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.572 53.63),DEU,DEHLO,HASELDORF,Y,"","",Y
SRID=4326;MULTIPOINT(9.14 54.338),DEU,DEHNX,Hennstedt,Y,"","",Y
SRID=4326;MULTIPOINT(9.297 54.017),DEU,DEHOD,HOCHDONN,Y,"",Y,Y
