geom,north,south,east,west,code,name,enabled
"SRID=4326;MULTIPOLYGON(((-17.4999999999999 17.0000000000001,-17.4999999999999 17.5000000000001,-16.9999999999999 17.5000000000001,-16.9999999999999 17.0000000000001,-17.4999999999999 17.0000000000001)))",17.5,17,17,17.5,17T3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.9999999999999 17.0000000000001,-16.9999999999999 17.5000000000001,-16.4999999999999 17.5000000000001,-16.4999999999999 17.0000000000001,-16.9999999999999 17.0000000000001)))",17.5,17,16.5,17,17S4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.4999999999999 17.0000000000001,-16.4999999999999 17.5000000000001,-15.9999999999999 17.5000000000001,-15.9999999999999 17.0000000000001,-16.4999999999999 17.0000000000001)))",17.5,17,16,16.5,17S3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.9999999999999 17.5000000000001,-19.9999999999999 18.0000000000001,-19.4999999999999 18.0000000000001,-19.4999999999999 17.5000000000001,-19.9999999999999 17.5000000000001)))",18,17.5,19.5,20,17V1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.4999999999999 17.5000000000001,-19.4999999999999 18.0000000000001,-18.9999999999999 18.0000000000001,-18.9999999999999 17.5000000000001,-19.4999999999999 17.5000000000001)))",18,17.5,19,19.5,17V2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.9999999999999 17.5000000000001,-18.9999999999999 18.0000000000001,-18.4999999999999 18.0000000000001,-18.4999999999999 17.5000000000001,-18.9999999999999 17.5000000000001)))",18,17.5,18.5,19,17U1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.4999999999999 17.5000000000001,-18.4999999999999 18.0000000000001,-17.9999999999999 18.0000000000001,-17.9999999999999 17.5000000000001,-18.4999999999999 17.5000000000001)))",18,17.5,18,18.5,17U2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.9999999999999 17.5000000000001,-17.9999999999999 18.0000000000001,-17.4999999999999 18.0000000000001,-17.4999999999999 17.5000000000001,-17.9999999999999 17.5000000000001)))",18,17.5,17.5,18,17T1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.4999999999999 17.5000000000001,-17.4999999999999 18.0000000000001,-16.9999999999999 18.0000000000001,-16.9999999999999 17.5000000000001,-17.4999999999999 17.5000000000001)))",18,17.5,17,17.5,17T2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.9999999999999 17.5000000000001,-16.9999999999999 18.0000000000001,-16.4999999999999 18.0000000000001,-16.4999999999999 17.5000000000001,-16.9999999999999 17.5000000000001)))",18,17.5,16.5,17,17S1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.4999999999999 17.5000000000001,-16.4999999999999 18.0000000000001,-15.9999999999999 18.0000000000001,-15.9999999999999 17.5000000000001,-16.4999999999999 17.5000000000001)))",18,17.5,16,16.5,17S2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.9999999999999 18.0000000000001,-19.9999999999999 18.5000000000001,-19.4999999999999 18.5000000000001,-19.4999999999999 18.0000000000001,-19.9999999999999 18.0000000000001)))",18.5,18,19.5,20,18V4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.4999999999999 18.0000000000001,-19.4999999999999 18.5000000000001,-18.9999999999999 18.5000000000001,-18.9999999999999 18.0000000000001,-19.4999999999999 18.0000000000001)))",18.5,18,19,19.5,18V3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.9999999999999 18.0000000000001,-18.9999999999999 18.5000000000001,-18.4999999999999 18.5000000000001,-18.4999999999999 18.0000000000001,-18.9999999999999 18.0000000000001)))",18.5,18,18.5,19,18U4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.4999999999999 18.0000000000001,-18.4999999999999 18.5000000000001,-17.9999999999999 18.5000000000001,-17.9999999999999 18.0000000000001,-18.4999999999999 18.0000000000001)))",18.5,18,18,18.5,18U3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.9999999999999 18.0000000000001,-17.9999999999999 18.5000000000001,-17.4999999999999 18.5000000000001,-17.4999999999999 18.0000000000001,-17.9999999999999 18.0000000000001)))",18.5,18,17.5,18,18T4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.4999999999999 18.0000000000001,-17.4999999999999 18.5000000000001,-16.9999999999999 18.5000000000001,-16.9999999999999 18.0000000000001,-17.4999999999999 18.0000000000001)))",18.5,18,17,17.5,18T3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.9999999999999 18.0000000000001,-16.9999999999999 18.5000000000001,-16.4999999999999 18.5000000000001,-16.4999999999999 18.0000000000001,-16.9999999999999 18.0000000000001)))",18.5,18,16.5,17,18S4,MRT,Y
