geom,country_code,code,name,fishing_port,landing_place,commercial_port
"SRID=4326;MULTIPOINT(18.117 58.967)",SWE,SEMSK,Muskö,Y,,
"SRID=4326;MULTIPOINT(18.517 57.828)",SWE,SELIC,Lickershamn,,Y,
"SRID=4326;MULTIPOINT(11.128 58.887)",SWE,SELIH,Lindholmen,,Y,
"SRID=4326;MULTIPOINT(12.924 55.587)",SWE,SELIM,Limhamn,Y,,Y
"SRID=4326;MULTIPOINT(11.917 58.217)",SWE,SELJE,Ljungskile,,Y,
"SRID=4326;MULTIPOINT(18.717 57.322)",SWE,SELJN,Ljugarn,,Y,
"SRID=4326;MULTIPOINT(18.617 59.517)",SWE,SELJO,Ljusterö,,Y,
"SRID=4326;MULTIPOINT(17.145 61.207)",SWE,SELJU,Ljusne,Y,,
"SRID=4326;MULTIPOINT(14.716 56.095)",SWE,SELKD,Lörby Kladd,,Y,
"SRID=4326;MULTIPOINT(11.37 58.308)",SWE,SELKO,Lilla Kornö,,Y,
"SRID=4326;MULTIPOINT(22.168 65.58)",SWE,SELLA,Luleå,Y,,Y
"SRID=4326;MULTIPOINT(11.17 59.054)",SWE,SELNE,Lunneviken,,Y,
"SRID=4326;MULTIPOINT(17.326 61.928)",SWE,SELNF,Lönnångersfjärden,,Y,
"SRID=4326;MULTIPOINT(17.293 61.942)",SWE,SELNN,Lönnånger,,Y,
"SRID=4326;MULTIPOINT(22.547 65.527)",SWE,SELNO,Långön,,Y,
"SRID=4326;MULTIPOINT(19.196 59.397)",SWE,SELNS,Lilla Nassa,,Y,
"SRID=4326;MULTIPOINT(18.907 59.418)",SWE,SELOA,Löka,,Y,
"SRID=4326;MULTIPOINT(16.683 57.9)",SWE,SELOF,Loftahammar,,Y,
"SRID=4326;MULTIPOINT(19.394 63.55)",SWE,SELOG,Lögdeå,,Y,
"SRID=4326;MULTIPOINT(21.251 64.302)",SWE,SELOH,Lövsele Hamn,,Y,
"SRID=4326;MULTIPOINT(13.067 55.675)",SWE,SELOM,Lomma,Y,,
"SRID=4326;MULTIPOINT(18.703 59.568)",SWE,SELOO,Löparö,,Y,
"SRID=4326;MULTIPOINT(14.697 56.071)",SWE,SELOR,Lörby,,Y,
"SRID=4326;MULTIPOINT(22.373 65.542)",SWE,SELOS,Lövskär,,Y,
"SRID=4326;MULTIPOINT(22.358 65.519)",SWE,SELOV,Lövgrundet,,Y,
"SRID=4326;MULTIPOINT(18.583 60.338)",SWE,SELRN,Lilla Risten,,Y,
"SRID=4326;MULTIPOINT(17.762 58.943)",SWE,SELSO,Lisö,,Y,
"SRID=4326;MULTIPOINT(17 57.167)",SWE,SELTT,Löttorp,,Y,
"SRID=4326;MULTIPOINT(17.553 58.845)",SWE,SELUK,Lilla Uttervik,,Y,
"SRID=4326;MULTIPOINT(21.853 65.418)",SWE,SELVI,Långviken,,Y,
"SRID=4326;MULTIPOINT(11.419 58.177)",SWE,SELVN,Lavön,,Y,
"SRID=4326;MULTIPOINT(16.467 56.981)",SWE,SELVO,Lövö,,Y,
"SRID=4326;MULTIPOINT(12.925 56.593)",SWE,SELXV,Laxvik,,Y,
"SRID=4326;MULTIPOINT(11.525 58.281)",SWE,SELYE,"Essvik, Gullmarsfjorden",,Y,
"SRID=4326;MULTIPOINT(11.904 58.216)",SWE,SELYK,Lyckorna,,Y,
"SRID=4326;MULTIPOINT(11.528 58.092)",SWE,SELYR,"Lyresten, Orust",,Y,
"SRID=4326;MULTIPOINT(11.45 58.283)",SWE,SELYS,Lysekil,Y,,Y
"SRID=4326;MULTIPOINT(18.536 60.244)",SWE,SEMAB,Mälby,,Y,
"SRID=4326;MULTIPOINT(17.149 61.157)",SWE,SEMAK,Maråker,,Y,
"SRID=4326;MULTIPOINT(14.153 55.773)",SWE,SEMAM,Maglehem,,Y,
"SRID=4326;MULTIPOINT(16.702 57.654)",SWE,SEMAO,"Marsö, Västervik",,Y,
"SRID=4326;MULTIPOINT(12.792 56.3)",SWE,SEMAS,Magnarp Strand,,Y,
"SRID=4326;MULTIPOINT(11.679 58.438)",SWE,SEMDM,Munkedalshamn,Y,,
"SRID=4326;MULTIPOINT(12.465 58.702)",SWE,SEMEL,Mellerud,,Y,
"SRID=4326;MULTIPOINT(17.345 61.958)",SWE,SEMEN,Mellanfjärden,,Y,
"SRID=4326;MULTIPOINT(23.192 65.763)",SWE,SEMHN,Marahamn,,Y,
"SRID=4326;MULTIPOINT(11.667 58.072)",SWE,SEMJN,Mjörn,,Y,
"SRID=4326;MULTIPOINT(18.419 62.98)",SWE,SEMJV,Mjällomsviken,,Y,
"SRID=4326;MULTIPOINT(17.667 59)",SWE,SEMKO,Mörkö,,Y,
"SRID=4326;MULTIPOINT(16.732 58.344)",SWE,SEMLA,Målma,,Y,
"SRID=4326;MULTIPOINT(12.5 55.283)",SWE,SEMLE,Mölle,Y,,
"SRID=4326;MULTIPOINT(16.691 57.811)",SWE,SEMLM,"Norra Malmö, Västervik",,Y,
"SRID=4326;MULTIPOINT(11.472 58.073)",SWE,SEMLO,Mollösund,Y,,
"SRID=4326;MULTIPOINT(13 55.6)",SWE,SEMMA,Malmö,Y,,Y
"SRID=4326;MULTIPOINT(11.132 58.934)",SWE,SEMOD,Monelid,,Y,
"SRID=4326;MULTIPOINT(18.833 59.4)",SWE,SEMOJ,Möja,,Y,
"SRID=4326;MULTIPOINT(16.453 57.042)",SWE,SEMON,Mönsterås,Y,,Y
"SRID=4326;MULTIPOINT(16.377 56.53)",SWE,SEMOR,Mörbylånga,Y,,Y
"SRID=4326;MULTIPOINT(13.616 55.423)",SWE,SEMOS,Mossby,,Y,
"SRID=4326;MULTIPOINT(11.596 57.888)",SWE,SEMSD,Marstrand,Y,,
"SRID=4326;MULTIPOINT(17.167 58.724)",SWE,SEMSO,"Marsö, Nyköping",,Y,
"SRID=4326;MULTIPOINT(18.956 63.221)",SWE,SEMTT,Mattjäl,,Y,
"SRID=4326;MULTIPOINT(11.677 58.466)",SWE,SEMUK,Munkedal,,Y,
"SRID=4326;MULTIPOINT(11.248 58.631)",SWE,SEMUS,Musö,,Y,
"SRID=4326;MULTIPOINT(17.089 57.349)",SWE,SENAD,Nabbelund,,Y,
"SRID=4326;MULTIPOINT(18.525 63.157)",SWE,SENAE,Näske,,Y,
"SRID=4326;MULTIPOINT(18.692 59.194)",SWE,SENAO,Nämdö,,Y,
"SRID=4326;MULTIPOINT(18.667 57.227)",SWE,SENAR,Närshamn,,Y,
"SRID=4326;MULTIPOINT(11.907 57.623)",SWE,SENAT,Näset,,Y,
"SRID=4326;MULTIPOINT(16.802 58.627)",SWE,SENAV,Nävekvarn,Y,,
"SRID=4326;MULTIPOINT(19.825 63.563)",SWE,SENBY,Norrbyn,,Y,
"SRID=4326;MULTIPOINT(15.655 56.12)",SWE,SENDA,Sanda,,Y,
"SRID=4326;MULTIPOINT(16.857 58.331)",SWE,SENFI,Norra Finnö,,Y,
"SRID=4326;MULTIPOINT(17.438 62.062)",SWE,SENFJ,"Norrfjärden, Gävleborg",,Y,
"SRID=4326;MULTIPOINT(20.738 63.863)",SWE,SENFN,"Norrfjärden, Sävar",,Y,
"SRID=4326;MULTIPOINT(11.418 58.306)",SWE,SENGR,Norra Grundsund,,Y,
"SRID=4326;MULTIPOINT(23.933 65.793)",SWE,SENIA,Nikkala,,Y,
"SRID=4326;MULTIPOINT(11.901 57.302)",SWE,SENIN,Nidingen,,Y,
"SRID=4326;MULTIPOINT(18.405 59.355)",SWE,SENLO,Norra Lagnö,,Y,
"SRID=4326;MULTIPOINT(16.7 57.655)",SWE,SENMA,Norra Marsö,,Y,
"SRID=4326;MULTIPOINT(12.217 57.141)",SWE,SENNS,Norra Näs,,Y,
"SRID=4326;MULTIPOINT(12.682 56.456)",SWE,SENOB,Norrebro,,Y,
"SRID=4326;MULTIPOINT(14.738 56.003)",SWE,SENOD,Nogersund,,Y,
"SRID=4326;MULTIPOINT(18.715 59.758)",SWE,SENOE,Norrtälje,Y,,Y
"SRID=4326;MULTIPOINT(21.52 65.4)",SWE,SENOF,"Norrfjärden, Piteå",,Y,
"SRID=4326;MULTIPOINT(18.849 60.03)",SWE,SENOH,Nothamn,,Y,
"SRID=4326;MULTIPOINT(11.013 58.893)",SWE,SENOK,Nord-Koster,,Y,
"SRID=4326;MULTIPOINT(18.525 62.977)",SWE,SENON,Norrfällsviken,,Y,
"SRID=4326;MULTIPOINT(12.017 57.417)",SWE,SENOS,Onsala,,Y,
"SRID=4326;MULTIPOINT(17.148 60.931)",SWE,SENOT,Norrsundet,Y,,Y
"SRID=4326;MULTIPOINT(14.672 56.118)",SWE,SENRJ,Norje,,Y,
"SRID=4326;MULTIPOINT(16.26 58.61)",SWE,SENRK,Norrköping,Y,,Y
"SRID=4326;MULTIPOINT(16.681 57.674)",SWE,SENVL,Nävelsö,,Y,
"SRID=4326;MULTIPOINT(11.544 57.98)",SWE,SENVS,Nordviksstrand,,Y,
"SRID=4326;MULTIPOINT(12.533 56.245)",SWE,SENYE,Nyhamnsläge,,Y,
"SRID=4326;MULTIPOINT(14.472 56.039)",SWE,SENYM,Nymölla,,Y,
"SRID=4326;MULTIPOINT(17.957 58.9)",SWE,SENYN,Nynäshamn,Y,,Y
"SRID=4326;MULTIPOINT(17.167 58.917)",SWE,SENYO,Nyköping,Y,,Y
"SRID=4326;MULTIPOINT(17.389 58.798)",SWE,SENYS,Nynäs,,Y,
"SRID=4326;MULTIPOINT(20.304 63.689)",SWE,SEOBB,Obbola,Y,,Y
"SRID=4326;MULTIPOINT(11.666 57.708)",SWE,SEOC2,"Björnhuvudet, Öckerö",,Y,
"SRID=4326;MULTIPOINT(11.657 57.707)",SWE,SEOCO,Öckerö,Y,,
"SRID=4326;MULTIPOINT(11.14 58.91)",SWE,SEODD,Öddö,,Y,
"SRID=4326;MULTIPOINT(16.717 57.61)",SWE,SEOEO,Östra Eknö,,Y,
"SRID=4326;MULTIPOINT(18.717 63.288)",SWE,SEOER,Örnsköldsvik,Y,,Y
"SRID=4326;MULTIPOINT(18.445 60.34)",SWE,SEOGR,Öregrund,Y,,
"SRID=4326;MULTIPOINT(16.508 57.011)",SWE,SEOKO,Oknö,,Y,
"SRID=4326;MULTIPOINT(18.803 59.547)",SWE,SEOLA,Östra Lagnö,,Y,
"SRID=4326;MULTIPOINT(17.382 61.627)",SWE,SEOLM,Olmen,,Y,
"SRID=4326;MULTIPOINT(12.082 57.364)",SWE,SEOLS,Ölmanäs,,Y,
"SRID=4326;MULTIPOINT(11.873 57.637)",SWE,SEONN,Önnered,,Y,
"SRID=4326;MULTIPOINT(14.261 55.45)",SWE,SEORH,Örnahusen,,Y,
"SRID=4326;MULTIPOINT(11.361 58.376)",SWE,SEORI,"Ö Rörvik, Åbyfjorden",,Y,
"SRID=4326;MULTIPOINT(18.658 60.27)",SWE,SEORM,Ormön,,Y,
"SRID=4326;MULTIPOINT(11.32 58.385)",SWE,SEORN,Örn,,Y,
"SRID=4326;MULTIPOINT(18.431 59.053)",SWE,SEORO,Ornö,,Y,
"SRID=4326;MULTIPOINT(21.205 64.673)",SWE,SEORV,Örviken,Y,,
"SRID=4326;MULTIPOINT(16.761 57.568)",SWE,SEORX,Örö,,Y,
